,alpha,beta,gamma,best,ave
0,0.0,0.0,1.0,"[0.02956460788846016, -0.07425466924905777, 0.4782375693321228]",0.1445158359905084
1,0.0,0.1,0.9,"[0.08352988958358765, 0.564479410648346, 0.5285086035728455]",0.392172634601593
2,0.0,0.2,0.8,"[0.0016068133991211653, 0.5517104268074036, 0.49313586950302124]",0.34881770323651534
3,0.0,0.3,0.7,"[-0.01717584766447544, 0.5681100487709045, 0.5151423215866089]",0.35535884089767933
4,0.0,0.4,0.6,"[-0.010661411099135876, 0.5591815710067749, 0.4929119348526001]",0.3471440315867464
5,0.0,0.5,0.5,"[-0.005369411315768957, 0.5713391304016113, 0.48612263798713684]",0.35069745235765976
6,0.0,0.6,0.4,"[0.04024849086999893, 0.5853075385093689, 0.511263906955719]",0.3789399787783623
7,0.0,0.7,0.30000000000000004,"[-0.0021661955397576094, 0.5700611472129822, 0.4972672462463379]",0.3550540659731875
8,0.0,0.8,0.19999999999999996,"[0.0037930782418698072, 0.5518637895584106, 0.4693436324596405]",0.34166683341997367
9,0.0,0.9,0.09999999999999998,"[0.043962229043245316, 0.5773413777351379, 0.4750068485736847]",0.3654368184506893
10,0.0,1.0,0.0,"[-0.006761336233466864, 0.559827983379364, 0.36633071303367615]",0.3064657867265244
11,0.1,0.0,0.9,"[0.14403793215751648, 0.35054534673690796, 0.5103504061698914]",0.3349778950214386
12,0.1,0.1,0.8,"[0.32351598143577576, 0.5576416850090027, 0.5052621960639954]",0.46213995416959125
13,0.1,0.2,0.7,"[0.2488112449645996, 0.5931434035301208, 0.5315871238708496]",0.45784725745519
14,0.1,0.3,0.6,"[0.3164064884185791, 0.571567714214325, 0.5143336653709412]",0.46743595600128174
15,0.1,0.4,0.5,"[0.3632645905017853, 0.5883885025978088, 0.5161266922950745]",0.4892599284648895
16,0.1,0.5,0.4,"[0.3565846085548401, 0.5441917181015015, 0.4866883158683777]",0.46248821417490643
17,0.1,0.6,0.30000000000000004,"[0.3494396507740021, 0.5400325655937195, 0.4890727996826172]",0.4595150053501129
18,0.1,0.7,0.20000000000000007,"[0.3714168965816498, 0.5929322838783264, 0.5198908448219299]",0.4947466750939687
19,0.1,0.8,0.09999999999999998,"[0.39634740352630615, 0.5571914315223694, 0.4838806986808777]",0.47913984457651776
20,0.1,0.9,0.0,"[0.3506757318973541, 0.5666324496269226, -0.07803475111722946]",0.2797578101356824
21,0.1,1.0,-0.10000000000000009,"[0.36498358845710754, 0.5545781254768372, -0.40820053219795227]",0.1704537272453308
22,0.2,0.0,0.8,"[0.3592342436313629, -0.005544797983020544, 0.5142663717269897]",0.2893186057917774
23,0.2,0.1,0.7,"[0.37264925241470337, 0.5162141919136047, 0.4843977391719818]",0.45775372783343
24,0.2,0.2,0.6,"[0.3896881639957428, 0.57807856798172, 0.5141528248786926]",0.49397318561871845
25,0.2,0.3,0.5,"[0.40776267647743225, 0.5460817813873291, 0.4765470325946808]",0.4767971634864807
26,0.2,0.4,0.3999999999999999,"[0.41340431571006775, 0.5678228735923767, 0.4799357056617737]",0.48705429832140607
27,0.2,0.5,0.30000000000000004,"[0.38632524013519287, 0.5769672393798828, 0.5054931640625]",0.4895952145258586
28,0.2,0.6,0.19999999999999996,"[0.3834531307220459, 0.5771529078483582, 0.509280800819397]",0.48996227979660034
29,0.2,0.7,0.10000000000000009,"[0.40524670481681824, 0.563291609287262, 0.46743378043174744]",0.4786573648452759
30,0.2,0.8,0.0,"[0.3909066915512085, 0.5911940932273865, 0.00600679125636816]",0.3293691920116544
31,0.2,0.9,-0.10000000000000009,"[0.35936129093170166, 0.5745885968208313, -0.4042402505874634]",0.1765698790550232
32,0.2,1.0,-0.19999999999999996,"[0.4070907235145569, 0.5624012351036072, -0.3959648311138153]",0.19117570916811624
33,0.3,0.0,0.7,"[0.41761383414268494, -0.05641939863562584, 0.507719099521637]",0.28963784500956535
34,0.3,0.1,0.6,"[0.3905762732028961, 0.5424076318740845, 0.4945773780345917]",0.47585376103719074
35,0.3,0.2,0.5,"[0.4207465350627899, 0.5600569844245911, 0.5040172338485718]",0.49494025111198425
36,0.3,0.3,0.4,"[0.3993450999259949, 0.5584020614624023, 0.49251866340637207]",0.4834219415982564
37,0.3,0.4,0.30000000000000004,"[0.42990022897720337, 0.5565610527992249, 0.4897244870662689]",0.49206192294756573
38,0.3,0.5,0.19999999999999996,"[0.4194609820842743, 0.5531618595123291, 0.48189303278923035]",0.4848386247952779
39,0.3,0.6,0.10000000000000009,"[0.4249437153339386, 0.5620070695877075, 0.4858248233795166]",0.49092520276705426
40,0.3,0.7,0.0,"[0.42101627588272095, 0.5791716575622559, -0.05239963158965111]",0.31592943395177525
41,0.3,0.8,-0.10000000000000009,"[0.4239150285720825, 0.5922916531562805, -0.39932379126548767]",0.20562763015429178
42,0.3,0.9,-0.19999999999999996,"[0.39840278029441833, 0.5967756509780884, -0.4022926688194275]",0.19762858748435974
43,0.3,1.0,-0.30000000000000004,"[0.4221838414669037, 0.5745516419410706, -0.3986721634864807]",0.19935443997383118
44,0.4,0.0,0.6,"[0.4215351641178131, -0.009710929356515408, 0.5206883549690247]",0.31083752991010744
45,0.4,0.1,0.5,"[0.4251207709312439, 0.5376642942428589, 0.4734676480293274]",0.4787509044011434
46,0.4,0.2,0.3999999999999999,"[0.4133060872554779, 0.571043074131012, 0.49984320998191833]",0.49473079045613605
47,0.4,0.3,0.30000000000000004,"[0.41402533650398254, 0.5917398929595947, 0.5135599374771118]",0.506441722313563
48,0.4,0.4,0.19999999999999996,"[0.41775086522102356, 0.5642023682594299, 0.48510393500328064]",0.4890190561612447
49,0.4,0.5,0.09999999999999998,"[0.4379560649394989, 0.5820126533508301, 0.4920860826969147]",0.5040182669957479
50,0.4,0.6,0.0,"[0.43381577730178833, 0.589605987071991, 0.26484864950180054]",0.4294234712918599
51,0.4,0.7,-0.10000000000000009,"[0.41167572140693665, 0.5640667676925659, -0.3996797204017639]",0.19202092289924622
52,0.4,0.8,-0.20000000000000018,"[0.4213780462741852, 0.5911391377449036, -0.4136699438095093]",0.1996157467365265
53,0.4,0.9,-0.30000000000000004,"[0.41037362813949585, 0.5926570892333984, -0.42805230617523193]",0.1916594703992208
54,0.4,1.0,-0.3999999999999999,"[0.3773277997970581, 0.5547615885734558, -0.3961126208305359]",0.17865892251332602
55,0.5,0.0,0.5,"[0.4119923710823059, 0.23240555822849274, 0.48567384481430054]",0.3766905913750331
56,0.5,0.1,0.4,"[0.4200769364833832, 0.5159770846366882, 0.4723784029483795]",0.46947747468948364
57,0.5,0.2,0.30000000000000004,"[0.42194464802742004, 0.5477309226989746, 0.5008267760276794]",0.4901674489180247
58,0.5,0.3,0.19999999999999996,"[0.41928330063819885, 0.5636261105537415, 0.4754166603088379]",0.4861086905002594
59,0.5,0.4,0.09999999999999998,"[0.44158169627189636, 0.5661946535110474, 0.4690748155117035]",0.4922837217648824
60,0.5,0.5,0.0,"[0.4136064946651459, 0.594675600528717, 0.10795029997825623]",0.37207746505737305
61,0.5,0.6,-0.10000000000000009,"[0.44073039293289185, 0.5962559580802917, -0.40620362758636475]",0.2102609078089396
62,0.5,0.7,-0.19999999999999996,"[0.43038836121559143, 0.570111870765686, -0.3962954878807068]",0.2014015813668569
63,0.5,0.8,-0.30000000000000004,"[0.4221196174621582, 0.5673642754554749, -0.3880575895309448]",0.2004754344622294
64,0.5,0.9,-0.3999999999999999,"[0.41922757029533386, 0.566375732421875, -0.40668678283691406]",0.1929721732934316
65,0.5,1.0,-0.5,"[0.3817780911922455, 0.6187329292297363, -0.42555081844329834]",0.19165340065956116
66,0.6,0.0,0.4,"[0.3934139311313629, -0.23319195210933685, 0.4565311074256897]",0.2055843621492386
67,0.6,0.1,0.30000000000000004,"[0.4217749238014221, 0.5342950820922852, 0.4805769920349121]",0.4788823326428731
68,0.6,0.2,0.19999999999999996,"[0.42617806792259216, 0.5942466259002686, 0.5086089968681335]",0.509677896896998
69,0.6,0.3,0.10000000000000009,"[0.4392494559288025, 0.5478491187095642, 0.4687027931213379]",0.4852671225865682
70,0.6,0.4,0.0,"[0.4153064489364624, 0.5772709846496582, 0.12843823432922363]",0.37367188930511475
71,0.6,0.5,-0.10000000000000009,"[0.4225877523422241, 0.583888053894043, -0.40393659472465515]",0.20084640383720398
72,0.6,0.6,-0.19999999999999996,"[0.4370326101779938, 0.5860700607299805, -0.392209529876709]",0.2102977136770884
73,0.6,0.7,-0.2999999999999998,"[0.4157312214374542, 0.5622738599777222, -0.38283035159111023]",0.19839157660802206
74,0.6,0.8,-0.3999999999999999,"[0.40565675497055054, 0.5456589460372925, -0.402618408203125]",0.18289909760157266
75,0.6,0.9,-0.5,"[0.4152405261993408, 0.5570881366729736, -0.3936155140399933]",0.19290438294410706
76,0.6,1.0,-0.6000000000000001,"[0.40532490611076355, 0.5574505925178528, -0.41273969411849976]",0.18334526817003885
77,0.7,0.0,0.30000000000000004,"[0.4150962829589844, -0.13263796269893646, 0.48611974716186523]",0.2561926891406377
78,0.7,0.1,0.20000000000000007,"[0.4365173280239105, 0.5482938885688782, 0.4922444224357605]",0.49235187967618305
79,0.7,0.2,0.10000000000000009,"[0.43195247650146484, 0.598906934261322, 0.5014862418174744]",0.5107818841934204
80,0.7,0.3,0.0,"[0.4357287883758545, 0.5584824085235596, -0.08851771801710129]",0.3018978262941043
81,0.7,0.4,-0.10000000000000009,"[0.428427129983902, 0.5697028636932373, -0.396720290184021]",0.20046990116437277
82,0.7,0.5,-0.19999999999999996,"[0.43154242634773254, 0.5973435044288635, -0.4040350615978241]",0.20828362305959067
83,0.7,0.6,-0.2999999999999998,"[0.4321630597114563, 0.5756520628929138, -0.4134158790111542]",0.19813308119773865
84,0.7,0.7,-0.3999999999999999,"[0.4252128005027771, 0.5798138380050659, -0.4032679498195648]",0.2005862295627594
85,0.7,0.8,-0.5,"[0.40475186705589294, 0.5737260580062866, -0.40587589144706726]",0.19086734453837076
86,0.7,0.9,-0.6000000000000001,"[0.42065170407295227, 0.5627050399780273, -0.4070899784564972]",0.19208892186482748
87,0.7,1.0,-0.7,"[0.4027511179447174, 0.5906498432159424, -0.4035874605178833]",0.19660450021425882
88,0.8,0.0,0.19999999999999996,"[0.4303828477859497, 0.12913204729557037, 0.4873374402523041]",0.34895077844460803
89,0.8,0.1,0.09999999999999998,"[0.4264134168624878, 0.5636153817176819, 0.48336008191108704]",0.4911296268304189
90,0.8,0.2,0.0,"[0.4320683777332306, 0.5650496482849121, -0.1267673671245575]",0.29011688629786175
91,0.8,0.3,-0.10000000000000009,"[0.4436310827732086, 0.575171172618866, -0.3968585729598999]",0.20731456081072488
92,0.8,0.4,-0.20000000000000018,"[0.4409676790237427, 0.5771251320838928, -0.40746402740478516]",0.2035429279009501
93,0.8,0.5,-0.30000000000000004,"[0.43483036756515503, 0.5764351487159729, -0.39820247888565063]",0.20435434579849243
94,0.8,0.6,-0.3999999999999999,"[0.4201089143753052, 0.5764018297195435, -0.41795358061790466]",0.19285238782564798
95,0.8,0.7,-0.5,"[0.36819422245025635, 0.5913364291191101, -0.41517767310142517]",0.1814509928226471
96,0.8,0.8,-0.6000000000000001,"[0.4107133150100708, 0.5727254152297974, -0.40332329273223877]",0.19337181250254312
97,0.8,0.9,-0.7000000000000002,"[0.41510093212127686, 0.5898532271385193, -0.4097290337085724]",0.19840837518374124
98,0.8,1.0,-0.8,"[0.43147584795951843, 0.5556856989860535, -0.3992706537246704]",0.19596363107363382
99,0.9,0.0,0.09999999999999998,"[0.42791610956192017, -0.07892252504825592, 0.45622575283050537]",0.2684064457813899
100,0.9,0.1,0.0,"[0.4287504553794861, 0.5690047740936279, -0.15177398920059204]",0.2819937467575073
101,0.9,0.2,-0.10000000000000009,"[0.4429545998573303, 0.5822060704231262, -0.3921073377132416]",0.211017777522405
102,0.9,0.3,-0.19999999999999996,"[0.42585065960884094, 0.5378528833389282, -0.3928298056125641]",0.1902912457784017
103,0.9,0.4,-0.30000000000000004,"[0.4376847743988037, 0.5677416920661926, -0.41201311349868774]",0.19780445098876953
104,0.9,0.5,-0.3999999999999999,"[0.41636377573013306, 0.5654058456420898, -0.4094802141189575]",0.19076313575108847
105,0.9,0.6,-0.5,"[0.43770498037338257, 0.5594202876091003, -0.3995078504085541]",0.1992058058579763
106,0.9,0.7,-0.6000000000000001,"[0.4240468144416809, 0.5664112567901611, -0.4062540829181671]",0.19473466277122498
107,0.9,0.8,-0.7000000000000002,"[0.4171966314315796, 0.5465160608291626, -0.40409421920776367]",0.18653949101765951
108,0.9,0.9,-0.8,"[0.4155929684638977, 0.5458369851112366, -0.39764490723609924]",0.18792834877967834
109,0.9,1.0,-0.8999999999999999,"[0.39844590425491333, 0.4983788728713989, -0.3920817971229553]",0.168247660001119
110,1.0,0.0,0.0,"[0.4458602964878082, 0.05009258911013603, 0.007984799332916737]",0.167979228310287
111,1.0,0.1,-0.10000000000000009,"[0.4308311939239502, 0.5362952351570129, -0.41153377294540405]",0.18519755204518637
112,1.0,0.2,-0.19999999999999996,"[0.41744378209114075, 0.578818678855896, -0.410432904958725]",0.1952765186627706
113,1.0,0.3,-0.30000000000000004,"[0.4466347098350525, 0.5747291445732117, -0.3901229202747345]",0.21041364471117655
114,1.0,0.4,-0.3999999999999999,"[0.43173691630363464, 0.5521097183227539, -0.39681583642959595]",0.1956769327322642
115,1.0,0.5,-0.5,"[0.4161441922187805, 0.5669731497764587, -0.39171895384788513]",0.19713279604911804
116,1.0,0.6,-0.6000000000000001,"[0.44140517711639404, 0.569697380065918, -0.4068984389305115]",0.2014013727506002
117,1.0,0.7,-0.7,"[0.40487974882125854, 0.5396518707275391, -0.3903049826622009]",0.18474221229553223
118,1.0,0.8,-0.8,"[0.42799773812294006, 0.5621776580810547, -0.40112221240997314]",0.19635106126467386
119,1.0,0.9,-0.8999999999999999,"[0.4251752495765686, 0.5754979848861694, -0.4039320945739746]",0.19891371329625449
120,1.0,1.0,-1.0,"[0.40620657801628113, 0.5804134607315063, -0.418974369764328]",0.18921522299448648
